NO CLIENTE,NÚMERO DE PEDIDO,NOMBRE DEL CLIENTE,FECHA DE ENVÍO,FLETERA,NÚMERO DE GUÍA,COSTO DE LA GUÍA,PROMESA DE ENTREGA,FECHA DE ENTREGA REAL,DESTINO,CANTIDAD DE CAJAS,COMENTARIOS
C00667,232457,HOLIDAY INN QUERETARO CENTRO HISTORICO A0223804 (MQEMX),16/12/2025,ONE,JALGDL 238033,308.3,18/12/2025,17/12/2025,"SANTIAGO DE QUERETARO, QUE.",1,Sin Incidencias
C05352,232458,RESORTS BY PINNACLE,16/12/2025,SANCHEZ,2839288,277,18/12/2025,18/12/2025,"PUERTO VALLARTA, JAL.",6,Sin Incidencias
C09020,232464,HILTON QUERETARO,16/12/2025,ONE,JALGDL 238031,315,18/12/2025,19/12/2025,"QUERETARO, QUE.",6,Sin Incidencias
C08368,232465,HOTEL VILLA ESMERALDA,17/12/2025,CASTORES,14270168354,711,21/12/2025,,"SAN JUAN BAUTISTA TUXTEPEC, OAX.",9,Sin Incidencias
C03465,232466,HOLIDAY INN ORIZABA (VEROZ),16/12/2025,TRES GUERRAS,GLZ02744653,445,20/12/2025,17/12/2025,"ORIZABA, VER.",5,Sin Incidencias
C08450,232470,MOTEL AMORE MIO,16/12/2025,TINY PACK,GDL 43520,324.14,18/12/2025,19/12/2025,"TEPIC, NAY.",6,Sin Incidencias
C07262,232471,CITY EXPRESS MONTERREY LINDAVISTA (CEMTL),16/12/2025,ONE,JALGDL 238029,359.56,18/12/2025,22/12/2025,"GUADALUPE, NL.",130,Sin Incidencias
C07242,232473,CITY EXPRESS SALAMANCA (CESLM),16/12/2025,TRES GUERRAS,GLZ02744691,400,18/12/2025,17/12/2025,"SALAMANCA, GTO.",1,Sin Incidencias
C01762,232484,DISTRIBUIDORA JOFA,16/12/2025,TRES GUERRAS,GLZ02744647,15570.32,21/12/2025,22/12/2025,"TIJUANA, BC.",248,Sin Incidencias
C08899,232485,HOTEL HB,16/12/2025,TRES GUERRAS,GLZ02744608,1513,20/12/2025,17/12/2025,"CORDOBA, VER.",17,Sin Incidencias
C07380,232487,HOTEL CAROLINA,16/12/2025,FLETES DE REGRESO,119605G,490,21/12/2025,21/12/2025,"CHETUMAL, OTHON BLANCO, QR.",4,Sin Incidencias
C09598,232489,CASA ALTATA HOTEL BOUTIQUE,16/12/2025,ONE,JALGDL 238027,507,18/12/2025,24/12/2025,"CUAHTEMOC, MEX.",10,Sin Incidencias
C03224,232491,LORETO BAY CASAGO,16/12/2025,TRES GUERRAS,GLZ02744599,519.6,21/12/2025,23/12/2025,"LORETO, BCS.",3,Sin Incidencias
C05813,232496,SLEEP INN MONTERREY SAN PEDRO (143233),16/12/2025,ONE,JALGDL 238025,477,18/12/2025,23/12/2025,"MONTERREY, NL.",9,Sin Incidencias
C05813,232497,SLEEP INN MONTERREY SAN PEDRO (143233),16/12/2025,ONE,JALGDL 238025,54,18/12/2025,23/12/2025,"MONTERREY, NL.",15,Sin Incidencias
C01294,232498,COMFORT INN TAMPICO (143207),16/12/2025,TRES GUERRAS,GLZ02744640,1560,18/12/2025,22/12/2025,"TAMPICO, TAM.",26,Sin Incidencias
C01294,232499,COMFORT INN TAMPICO (143207),16/12/2025,TRES GUERRAS,GLZ02744640,84,18/12/2025,22/12/2025,"TAMPICO, TAM.",12,Sin Incidencias
C00637,232501,REAL MOTEL,16/12/2025,TAMAZULA,GDL36891,537.2,19/12/2025,19/12/2025,"TECOMAN, COL.",4,Sin Incidencias
C04157,232502,HOTEL POSADA SAN MARTIN,16/12/2025,TRES GUERRAS,GLZ02744635,890,21/12/2025,29/12/2025,"ENSENADA, BC.",10,Sin Incidencias
C04472,232504,HOLIDAY INN HUATULCO (HUXHI),16/12/2025,TRES GUERRAS,GLZ02744684,1068,21/12/2025,22/12/2025,"SANTA MARIA HUATULCO, OAX.",12,Sin Incidencias
C08020,232505,HOTEL MELANIE,16/12/2025,TRES GUERRAS,GLZ02744627,420,18/12/2025,17/12/2025,"TEPIC, NAY.",7,Sin Incidencias
C03302,232506,ONE IRAPUATO (1IRTE),16/12/2025,TRES GUERRAS,GLZ02744700,400,18/12/2025,17/12/2025,"IRAPUATO, GTO.",2,Sin Incidencias
C08464,232507,GARDEN INN BOCA DEL RIO VERACRUZ (VERBR),16/12/2025,TRES GUERRAS,GLZ02744664,534,20/12/2025,18/12/2025,"BOCA DEL RIO VERACRUZ, VER.",6,Sin Incidencias
C09108,232511,HOTEL VILLA DEL CONQUISTADOR,16/12/2025,TRES GUERRAS,GLZ02744624,420,19/12/2025,26/12/2025,"CUERNAVACA, MOR.",7,Sin Incidencias
CG0012,232518,NEO BUSINESS HOTEL,17/12/2025,SINALOA EXPRESS,GD1374142,0,20/12/2025,20/12/2025,"CULIACAN, SIN.",9,Sin Incidencias
C07211,232519,CITY EXPRESS CIUDAD VICTORIA (CECVM),17/12/2025,CASTORES,14270168353,1343,21/12/2025,,"VICTORIA, TAM.",17,Sin Incidencias
C05489,232521,FIESTA INN INSURGENTES VIADUCTO (FIINS),16/12/2025,ONE,JALGDL 238032,316.55,18/12/2025,18/12/2025,"MEXICO, DF.",5,Sin Incidencias
C05160,232522,HOTEL REAL TABASCO,16/12/2025,FLETES DE REGRESO,GLZ02744582,3028.28,20/12/2025,20/12/2025,"VILLAHERMOSA, TAB.",43,Sin Incidencias
C04459,232524,WIM HOTEL,16/12/2025,TRES GUERRAS,GLZ02744616,890,20/12/2025,19/12/2025,"CAMARGO, CHI.",10,Sin Incidencias
C08781,232526,INDIGO LA PAZ (LAPGO),16/12/2025,TRES GUERRAS,GLZ02744659,5123.7,21/12/2025,19/12/2025,"LA PAZ, BCS.",45,Sin Incidencias
C07181,232527,CITY EXPRESS PLUS MONTERREY GALERIAS  (CPMSJ),16/12/2025,ONE,JALGDL 238034,308.3,18/12/2025,,"MONTERREY, NL.",1,Sin Incidencias
C08075,232528,VENTAS MOSTRADOR PLAYA,19/12/2025,FLETES DE REGRESO,119845G,252,24/12/2025,24/12/2025,"SOLIDARIDAD, QR.",3,Sin Incidencias
C07962,232529,COMFORT INN DELICIAS (143196),19/12/2025,TRES GUERRAS,GLZ02751166,1068,24/12/2025,22/12/2025,"DELICIAS, CHI.",12,Sin Incidencias
C05965,232530,HILTON MEXICO CITY AIRPORT,17/12/2025,ONE,JALGDL 238109,360,19/12/2025,22/12/2025,"MEXICO, CMX.",7,Sin Incidencias
C08934,232532,HOTEL ST GEORGE,17/12/2025,TRES GUERRAS,GLZ02746874,400,19/12/2025,18/12/2025,"TEQUISQUIAPAN, QUE.",1,Sin Incidencias
C09297,232534,HOTEL LA TARJEA,17/12/2025,TRES GUERRAS,GLZ02746883,400.02,21/12/2025,19/12/2025,"MATEHUALA, SLP.",3,Sin Incidencias
C02400,232537,CASA INN PREMIUM HOTEL QUERETARO,17/12/2025,TRES GUERRAS,GLZ02746888,900,20/12/2025,18/12/2025,"EL MARQUES, QUE.",15,Sin Incidencias
C08576,232538,HOLIDAY INN CIUDAD DE MEXICO TRADE CENTER A0206024 (MEXTC),17/12/2025,ONE,JALGDL 238108,656,19/12/2025,19/12/2025,"CIUDAD DE MEXICO, CMX.",13,Sin Incidencias
C02213,232541,MOTEL PARADISE DE NAVOLATO,19/12/2025,SINALOA EXPRESS,GD1374585,1536.07,23/12/2025,23/12/2025,"NAVOLATO, SIN.",25,Sin Incidencias
C05991,232543,VN HOTEL,18/12/2025,ONE,JALGDL 238106,316,20/12/2025,20/12/2025,"MONTERREY, NL.",5,Sin Incidencias
C02081,232544,EMPORIO ZACATECAS,17/12/2025,TRES GUERRAS,GLZ02746848,360,20/12/2025,18/12/2025,"ZACATECAS, ZAC.",6,Sin Incidencias
CG0029,232545,HOTEL HACIENDA DEL ROBLE,17/12/2025,TRES GUERRAS,GLZ02746856,480,19/12/2025,19/12/2025,"AGUASCALIENTES, AGS.",8,Sin Incidencias
C09328,232546,COMSAN,17/12/2025,CASTORES,14270168371,5100,21/12/2025,,"PUERTO PEÑASCO, SON.",51,Sin Incidencias
C05930,232548,HAMPTON INN HERMOSILLO( HMORS),17/12/2025,TINY PACK,GDL 43770,729.66,20/12/2025,20/12/2025,"HERMOSILLO, SON.",14,Sin Incidencias
C08164,232549,VILLAS DEL PALMAR FLAMINGOS,19/12/2025,SANCHEZ,2839504,413.42,21/12/2025,21/12/2025,"NUEVO VALLARTA, NAY.",6,Sin Incidencias
C08350,232550,GARDEN INN PUEBLA (PBCGI),17/12/2025,TRES GUERRAS,GLZ02746780,400,19/12/2025,19/12/2025,"SAN ANDRES, PUE.",4,Sin Incidencias
C06508,232551,AUTO HOTEL LOS PORTALES 2,17/12/2025,TRES GUERRAS,GLZ02746836,400,20/12/2025,19/12/2025,"TECOMAN, COL.",4,Sin Incidencias
C07738,232555,XINU,18/12/2025,TRES GUERRAS,GLZ02749323,1304,20/12/2025,22/12/2025,"CIUDAD DE MEXICO, CMX.",103,Sin Incidencias
C07738,232557,XINU,18/12/2025,TRES GUERRAS,GLZ02749323,570.04,20/12/2025,22/12/2025,"CIUDAD DE MEXICO, CMX.",45,Sin Incidencias
C01585,232558,FIESTA INN VERACRUZ BOCA DEL RIO (FIVZP),18/12/2025,TRES GUERRAS,GLZ02749122,248,22/12/2025,20/12/2025,"BOCA DEL RIO, VER.",2,Sin Incidencias
CG0024,232560,FARMASES,17/12/2025,ONE,JALGDL 238105,10314,19/12/2025,22/12/2025,"MONTERREY, NL.",340,Sin Incidencias
C09328,232564,COMSAN,17/12/2025,TRES GUERRAS,GLZ02747062,3028.28,20/12/2025,22/12/2025,"HERMOSILLO, SON.",58,Sin Incidencias
C01381,232565,CROWNE PLAZA TLALNEPANTLA (MEXLM),17/12/2025,ONE,JALGDL 238104,53,19/12/2025,19/12/2025,"TLALNEPANTLA, MEX.",50,Sin Incidencias
C08508,232566,HAMPTON INN IRAPUATO,17/12/2025,TRES GUERRAS,GLZ02747065,840,19/12/2025,18/12/2025,"IRAPUATO, GTO.",14,Sin Incidencias
C07831,232567,SUNSCAPE IXTAPA (SUDIX) A0099163,17/12/2025,TRES GUERRAS,GLZ02747067,445,22/12/2025,18/12/2025,"ZIHUATANEJO, GRO.",20,Sin Incidencias
C09604,232568,CITY EXPRESS PLUS MAZATLAN (CPMZT),17/12/2025,TINY PACK,GDL 43771,729.66,20/12/2025,18/12/2025,"SINALOA, SIN.",14,Sin Incidencias
C08131,232569,HOLIDAY INN & SUITES AGUASCALIENTES (AGUGP),17/12/2025,TRES GUERRAS,GLZ02747033,660,19/12/2025,18/12/2025,"AGUASCALIENTES, AGS.",11,Sin Incidencias
C05532,232570,FAIRFIELD INN & SUITES BY MARRIOTT QUERETARO JURIQUILLA A0095892,17/12/2025,TRES GUERRAS,GLZ02747058,420,19/12/2025,18/12/2025,"JURIQUILLA, QUE.",8,Sin Incidencias
C04732,232574,SUITES VILLA FLORIDA VERACRUZ,17/12/2025,TRES GUERRAS,GLZ02747031,6920.85,21/12/2025,19/12/2025,"BOCA DEL RIO, VER.",175,Sin Incidencias
C09407,232578,HOLIDAY INN EXPRESS MEXICO,17/12/2025,ONE,JALGDL 238103,704.87,19/12/2025,19/12/2025,"CUAUHTEMOC, CMX.",14,Sin Incidencias
C06965,232579,CONCIERGE PLAZA LA VILLA,17/12/2025,TRES GUERRAS,GLZ02746814,720,19/12/2025,29/12/2025,"COLIMA, COL.",12,Sin Incidencias
C09331,232580,HOTEL PLAZA DE ORO,17/12/2025,ONE,JALGDL 238107,817,19/12/2025,22/12/2025,"MONTERREY, NL.",16,Sin Incidencias
C04568,232581,PALMAS HOTEL & SPA,17/12/2025,TRES GUERRAS,GLZ02746910,720,21/12/2025,27/12/2025,"IXMIQUILPAN, HID.",12,Sin Incidencias
C07197,232583,CITY EXPRESS CELAYA GALERIAS (CECEG),17/12/2025,TRES GUERRAS,GLZ02747049,400,19/12/2025,31/12/2025,"CELAYA, GTO.",2,Sin Incidencias
C07258,232584,CITY EXPRESS ALTAMIRA (CEALT),17/12/2025,TRES GUERRAS,GLZ02746986,400,20/12/2025,20/12/2025,"ALTAMIRA, TAM.",4,Sin Incidencias
C01919,232585,HOTEL SAN CARLOS HERMANOS,17/12/2025,TRES GUERRAS,GLZ02747012,420,19/12/2025,19/12/2025,"TAMPICO, TAM.",7,Sin Incidencias
C08179,232586,CITY JUNIOR CENTRO DE CONVENCIONES (CJLEO),17/12/2025,TRES GUERRAS,GLZ02747016,960,19/12/2025,20/12/2025,"LEON, GTO.",16,Sin Incidencias
C07423,232587,CITY EXPRESS TAPACHULA (CETAP),17/12/2025,TRES GUERRAS,GLZ02747019,890,22/12/2025,19/12/2025,"TAPACHULA, CHS.",10,Sin Incidencias
C08137,232588,CITY PLUS LEON CENTRO DE CONVENCIONES (CPLEO),17/12/2025,TRES GUERRAS,GLZ02747023,1380,19/12/2025,20/12/2025,"LEON, GTO.",23,Sin Incidencias
C08952,232589,FATO HOTEL,17/12/2025,TRES GUERRAS,GLZ02746827,400,19/12/2025,18/12/2025,"QUERETARO, QUE.",4,Sin Incidencias
C08586,232590,HAMPTON INN CIUDAD JUAREZ (CDJMX),17/12/2025,TRES GUERRAS,GLZ02747026,2314,22/12/2025,19/12/2025,"JUAREZ, CHI.",26,Sin Incidencias
C01381,232592,CROWNE PLAZA TLALNEPANTLA (MEXLM),17/12/2025,ONE,JALGDL 238104,742,19/12/2025,19/12/2025,"TLALNEPANTLA, MEX.",14,Sin Incidencias
C09265,232593,MARAKAME,19/12/2025,SANCHEZ,2839567,382.82,21/12/2025,21/12/2025,"BAHIA DE BANDERAS, NAY.",8,Sin Incidencias
C05605,232601,ONE PUEBLA SERDAN (1PUSR),18/12/2025,ONE,JALGDL 238169,307,20/12/2025,22/12/2025,"PUEBLA, PUE.",10,Sin Incidencias
C03922,232604,HOTEL SAN JOAQUIN,18/12/2025,TRES GUERRAS,GLZ02749239,720,20/12/2025,12/12/2025,"COLIMA, COL.",3,Sin Incidencias
C05496,232605,FIESTA AMERICANA VILLAS ACAPULCO (FACA),18/12/2025,TRES GUERRAS,GLZ02749161,445,22/12/2025,20/12/2025,"ACAPULCO, GRO.",8000,Sin Incidencias
C06650,232606,FIESTA AMERICANA HACIENDA GALINDO (FAHG),18/12/2025,TRES GUERRAS,GLZ02749155,400,20/12/2025,19/12/2025,"SAN JUAN DEL RIO, QUE.",3,Sin Incidencias
C06727,232607,HAVEN RESORTS,19/12/2025,FLETES DE REGRESO,119845G,84,24/12/2025,24/12/2025,"BENITO JUAREZ, QR.",12,Sin Incidencias
C06965,232608,CONCIERGE PLAZA LA VILLA,19/12/2025,TRES GUERRAS,GLZ02750057,720,21/12/2025,23/12/2025,"COLIMA, COL.",12,Sin Incidencias
C09514,232609,PALMAR BEACH BAHIA PETEMPICH,19/12/2025,FLETES DE REGRESO,119845G,1000,24/12/2025,24/12/2025,"PUERTO MORELOS, QR.",1,Sin Incidencias
C03618,232611,NIZUC RESORT & SPA,19/12/2025,FLETES DE REGRESO,119845G,4800,24/12/2025,24/12/2025,"CANCUN BENITO JUAREZ, QR.",5,Sin Incidencias
C02549,232614,RAMADA BY WYNDHAM CANCUN,19/12/2025,FLETES DE REGRESO,119845G,168,24/12/2025,24/12/2025,"CANCUN, QR.",2,Sin Incidencias
C07266,232615,CITY EXPRESS VERACRUZ (CEVER),18/12/2025,TRES GUERRAS,GLZ02749149,1691,22/12/2025,20/12/2025,"BOCA DEL RIO, VER.",19,Sin Incidencias
C03616,232616,BAHIA PRINCIPE,19/12/2025,FLETES DE REGRESO,119845G,3192,24/12/2025,24/12/2025,"TULUM, QR.",58,Sin Incidencias
C08550,232617,TRYP BY WYNDHAM CHETUMAL,19/12/2025,FLETES DE REGRESO,119790G,900,24/12/2025,24/12/2025,"CHETUMAL, QR.",15,Sin Incidencias
C02574,232620,HOTEL AEROPUERTO MORELIA,18/12/2025,TRES GUERRAS,GLZ02749130,720,20/12/2025,24/12/2025,"MUNICIPIO ALVARO OBREGON, MCH.",12,Sin Incidencias
CF0002,232625,HOLIDAY INN EXPRESS TOLUCA GALERIAS METEPEC (TLUME),18/12/2025,TRES GUERRAS,GLZ02749271,600,20/12/2025,19/12/2025,"METEPEC, MEX.",10,Sin Incidencias
C07627,232627,CITY EXPRESS PLUS SAN LUIS POTOSI (CPSLP),18/12/2025,TRES GUERRAS,GLZ02749145,960,20/12/2025,19/12/2025,"SAN LUIS POTOSI, SLP.",16,Sin Incidencias
